"","external_gene_name","chromosome_name","transcript_biotype"
"592","Nmd3","3","protein_coding"
"593","Gtsf2","15","protein_coding"
"594","Cyp2d22","15","protein_coding"
"595","Wdr20","12","protein_coding"
"596","Fbxo34","14","protein_coding"
"597","AI837181","19","protein_coding"
"598","Slc26a2","18","protein_coding"
"599","Ntsr2","12","protein_coding"
"600","Fosl1","19","protein_coding"
"601","Tmem29","X","protein_coding"
"602","Cyp2d11","15","protein_coding"
"603","Ccdc85b","19","protein_coding"
"604","Nckap1l","15","protein_coding"
"605","Ylpm1","12","protein_coding"
"606","Fhod3","18","protein_coding"
"607","Afap1l2","19","protein_coding"
"608","Vmn1r197","13","protein_coding"
"609","Pex5l","3","protein_coding"
"610","Vmn1r198","13","protein_coding"
"611","Vmn1r199","13","protein_coding"
"612","Vmn1r200","13","protein_coding"
"613","Commd6","14","protein_coding"
"614","Magt1","X","protein_coding"
"615","Vmn1r201","13","protein_coding"
"616","Micu2","14","protein_coding"
"617","Vmn1r202","13","protein_coding"
"618","Vmn1r203","13","protein_coding"
"619","Vmn1r204","13","protein_coding"
"620","Vmn1r205","13","protein_coding"
"621","Vmn1r206","13","protein_coding"
"622","Spice1","16","protein_coding"
"623","Vmn1r207","13","protein_coding"
"624","Vmn1r208","13","protein_coding"
"625","Uchl3","14","protein_coding"
"626","Vmn1r209","13","protein_coding"
"627","Vmn1r210","13","protein_coding"
"628","Tbc1d7","13","protein_coding"
"629","Fer1l6","15","protein_coding"
"630","Fgf9","14","protein_coding"
"631","Mok","12","protein_coding"
"632","Cyp2d10","15","protein_coding"
"633","Cfap44","16","protein_coding"
"634","Atg14","14","protein_coding"
"635","Cox7b","X","protein_coding"
"636","Prox2","12","protein_coding"
"637","Apex2","X","protein_coding"
"638","Nutf2","8","protein_coding"
"639","Vmn1r211","13","protein_coding"
"640","Gm10037","13","protein_coding"
"641","Tmem65","15","protein_coding"
"642","Phf11a","14","protein_coding"
"643","BC048507","13","protein_coding"
"644","Zfp839","12","protein_coding"
"645","Vmn1r212","13","protein_coding"
"646","Gfod1","13","protein_coding"
"647","Fibp","19","protein_coding"
"648","Fat1","8","protein_coding"
"649","Phf11b","14","protein_coding"
"650","Son","16","protein_coding"
"651","Trmt12","15","protein_coding"
"652","Rnf139","15","protein_coding"
"653","Srp54b","12","protein_coding"
"654","Vmn1r213","13","protein_coding"
"655","Lmo7","14","protein_coding"
"656","Dab2","15","protein_coding"
"657","Vmn1r214","13","protein_coding"
"658","Pde6a","18","protein_coding"
"659","Vmn1r215","13","protein_coding"
"660","Vmn1r216","13","protein_coding"
"661","Vmn1r217","13","protein_coding"
"662","Vmn1r218","13","protein_coding"
"663","Vmn1r219","13","protein_coding"
"664","Ctsw","19","protein_coding"
"665","Vmn1r220","13","protein_coding"
"666","Sptssb","3","protein_coding"
"667","Vmn1r221","13","protein_coding"
"668","Xlr5c","X","protein_coding"
"669","Tpgs2","18","protein_coding"
"670","Sirt5","13","protein_coding"
"671","Fam177a2","12","protein_coding"
"672","Alas2","X","protein_coding"
"673","Cinp","12","protein_coding"
"674","Otol1","3","protein_coding"
"675","Efemp2","19","protein_coding"
"676","Mtnr1a","8","protein_coding"
"677","Ppargc1b","18","protein_coding"
"678","F11","8","protein_coding"
"679","Vmn1r222","13","protein_coding"
"680","Snx27","3","protein_coding"
"681","Boc","16","protein_coding"
"682","Vmn1r223","13","protein_coding"
"683","Mtrr","13","protein_coding"
"684","Klkb1","8","protein_coding"
"685","Gm45015","X","protein_coding"
"686","AW554918","18","protein_coding"
"687","Atp7a","X","protein_coding"
"688","Dlst","12","protein_coding"
"689","Cyp4v3","8","protein_coding"
"690","Fgd4","16","protein_coding"
"691","Nol7","13","protein_coding"
"692","Phf11d","14","protein_coding"
"693","Celf4","18","protein_coding"
"694","Tacr2","10","protein_coding"
"695","Slc10a7","8","protein_coding"
"696","1500009L16Rik","10","protein_coding"
"697","Mus81","19","protein_coding"
"698","Tuft1","3","protein_coding"
"699","Fastkd3","13","protein_coding"
"700","Arhgap18","10","protein_coding"
"701","Tlr13","X","protein_coding"
"702","Zfp275","X","protein_coding"
"703","Srp54c","12","protein_coding"
"704","Kctd12","14","protein_coding"
"705","Phf11c","14","protein_coding"
"706","Nuak1","10","protein_coding"
"707","Gm18336","X","protein_coding"
"708","Zfp92","X","protein_coding"
"709","Acod1","14","protein_coding"
"710","Zfp322a","13","protein_coding"
"711","Greb1","12","protein_coding"
"712","Ckap4","10","protein_coding"
"713","Cln5","14","protein_coding"
"714","Pgk1","X","protein_coding"
"715","Tcp11l2","10","protein_coding"
"716","Fbxl3","14","protein_coding"
"717","Sis","3","protein_coding"
