"","external_gene_name","chromosome_name","transcript_biotype"
"666","cts-1","III","protein_coding"
"667","cua-1","III","protein_coding"
"668","cuc-1","III","protein_coding"
"669","cul-1","III","protein_coding"
"670","cul-2","III","protein_coding"
"671","cul-3","V","protein_coding"
"672","cul-4","II","protein_coding"
"673","cul-5","V","protein_coding"
"674","cul-6","IV","protein_coding"
"675","cup-2","I","protein_coding"
"676","cup-4","III","protein_coding"
"677","cup-5","III","protein_coding"
"678","cut-1","II","protein_coding"
"679","cut-6","III","protein_coding"
"680","cux-7","III","protein_coding"
"681","cwn-1","II","protein_coding"
"682","cwn-2","IV","protein_coding"
"683","cwp-1","V","protein_coding"
"684","cwp-2","V","protein_coding"
"685","cwp-3","V","protein_coding"
"686","cwp-4","V","protein_coding"
"687","cya-1","III","protein_coding"
"688","cya-2","II","protein_coding"
"689","cyb-1","IV","protein_coding"
"690","cyb-2.1","IV","protein_coding"
"691","cyb-2.2","I","protein_coding"
"692","cyb-3","V","protein_coding"
"693","cyc-1","I","protein_coding"
"694","cyd-1","II","protein_coding"
"695","cye-1","I","protein_coding"
"696","cyk-1","III","protein_coding"
"697","cyk-3","III","protein_coding"
"698","cyk-4","III","protein_coding"
"699","cyl-1","V","protein_coding"
"700","cyn-1","V","protein_coding"
"701","cyn-2","III","protein_coding"
"702","cyn-3","V","protein_coding"
"703","cyn-4","II","protein_coding"
"704","cyn-5","I","protein_coding"
"705","cyn-6","III","protein_coding"
"706","cyn-7","V","protein_coding"
"707","cyn-8","X","protein_coding"
"708","cyn-9","III","protein_coding"
"709","cyn-10","II","protein_coding"
"710","cyn-11","II","protein_coding"
"711","cyn-12","IV","protein_coding"
"712","cyn-13","IV","protein_coding"
"713","sig-7","I","protein_coding"
"714","cyn-15","I","protein_coding"
"715","cyn-16","II","protein_coding"
"716","cyn-17","V","protein_coding"
"717","dab-1","II","protein_coding"
"718","dac-1","III","protein_coding"
"719","dad-1","I","protein_coding"
"720","daf-1","IV","protein_coding"
"721","daf-2","III","protein_coding"
"722","daf-3","X","protein_coding"
"723","daf-4","III","protein_coding"
"724","daf-5","II","protein_coding"
"725","daf-6","X","protein_coding"
"726","daf-7","III","protein_coding"
"727","daf-8","I","protein_coding"
"728","daf-9","X","protein_coding"
"729","daf-10","IV","protein_coding"
"730","daf-11","V","protein_coding"
"731","daf-12","X","protein_coding"
"732","daf-14","IV","protein_coding"
"733","daf-15","IV","protein_coding"
"734","daf-16","I","protein_coding"
"735","daf-18","IV","protein_coding"
"736","daf-19","II","protein_coding"
"737","hsp-90","V","protein_coding"
"738","daf-25","I","protein_coding"
"739","daf-28","V","protein_coding"
"740","daf-31","IV","protein_coding"
"741","dao-2","II","protein_coding"
"742","dao-3","X","protein_coding"
"743","dao-4","X","protein_coding"
"744","dao-5","I","protein_coding"
"745","dao-6","III","protein_coding"
"746","dap-3","II","protein_coding"
"747","dat-1","III","protein_coding"
"748","daz-1","II","protein_coding"
"749","dbl-1","V","protein_coding"
"750","dbr-1","I","protein_coding"
"751","dcp-66","I","protein_coding"
"752","dcr-1","III","protein_coding"
